gene,base_mean,log2fc,pvalue
G4856,99.54,-0.063,0.868
G4857,10.55,1.261,0.0768
G4858,540.5,0.081,0.779
G4859,91.89,0.36,0.352
G4860,0.59,-3.931,0.0878
G4861,106.65,0.339,0.366
G4862,1.63,0.223,0.88
G4863,563.31,-0.188,0.513
G4864,164.56,0.56,0.104
G4865,157.17,0.106,0.76
G4866,37.82,0.68,0.157
G4867,159.09,-0.042,0.904
G4868,1585.08,-0.224,0.389
G4869,9.73,0.121,0.869
G4870,109.06,0.328,0.379
G4871,523.22,0.025,0.931
G4872,292.49,0.556,0.0762
G4873,142.78,-0.338,0.34
G4874,673.19,-0.04,0.887
G4875,9.51,-0.259,0.726
G4876,5.86,0.328,0.71
G4877,25.35,0.196,0.716
G4878,989.58,0.028,0.918
G4879,28.42,-0.282,0.588
G4880,230.46,-0.33,0.311
G4881,56.08,0.137,0.752
G4882,10.34,-0.645,0.369
G4883,443.31,0.156,0.598
G4884,8.26,-1.28,0.0994
G4885,152.41,0.26,0.457
G4886,120.52,-0.321,0.38
G4887,112.39,-0.172,0.643
G4888,507.2,0.268,0.357
G4889,8126.53,-0.353,0.138
G4890,260.2,0.342,0.284
G4891,677.78,0.006,0.983
G4892,13.33,0.155,0.814
G4893,997.62,-0.054,0.842
G4894,18.31,-0.56,0.346
G4895,13.67,-0.522,0.424
G4896,50.51,0.131,0.769
G4897,37.42,0.314,0.514
G4898,323.63,-0.151,0.625
G4899,955.53,-0.307,0.259
G4900,72.32,-0.187,0.647
G4901,20.36,-1.12,0.0513
G4902,21.54,-0.873,0.122
G4903,78.48,-0.437,0.275
G4904,112.4,0.009,0.981
G4905,19.89,-0.719,0.214
G4906,7.64,0.247,0.757
G4907,1027.08,-0.002,0.994
G4908,381.9,0.048,0.874
G4909,111.66,-0.101,0.786
G4910,372.62,-0.35,0.248
G4911,23.64,-0.13,0.813
G4912,25.69,0.36,0.502
G4913,89.38,-2.26,6.39e-09
G4914,2.44,-0.347,0.78
G4915,72.15,-0.638,0.118
G4916,4.34,-0.258,0.794
G4917,14.94,-2.175,0.000602
G4918,143.51,0.019,0.957
G4919,22.25,0.308,0.582
G4920,45.65,-1.745,0.000133
G4921,107,0.669,0.0742
G4922,14,0.65,0.316
G4923,61.32,-0.29,0.494
G4924,69,-0.589,0.153
G4925,19.73,0.093,0.873
G4926,826.53,-0.105,0.703
G4927,47.18,-0.375,0.408
G4928,138.18,-0.674,0.0584
G4929,599.07,-0.338,0.236
G4930,86.74,-0.369,0.346
G4931,3.76,0.56,0.592
G4932,70.53,-0.39,0.342
G4933,181.51,0.164,0.628
G4934,13.99,-0.183,0.778
G4935,114.49,0.292,0.429
G4936,21.74,-0.831,0.14
G4937,239.91,0.21,0.516
G4938,159.37,0.426,0.219
G4939,21.18,1.46,0.0101
G4940,8.9,0.866,0.252
G4941,229.44,0.858,0.00842
G4942,124.58,-0.135,0.71
G4943,289.7,-0.032,0.919
G4944,127.12,-0.296,0.413
G4945,3.54,-0.075,0.944
G4946,268.53,-0.778,0.0143
G4947,15.13,-0.854,0.176
G4948,21.67,-0.026,0.963
G4949,2341.15,-0.117,0.644
G4950,156.41,0.282,0.418
G4951,495.25,-0.188,0.52
G4952,11.87,-0.172,0.802
G4953,534.92,0.003,0.992
G4954,83.27,-0.211,0.594
G4955,57.02,-0.572,0.185
G4956,90.17,-0.529,0.173
G4957,31.25,-0.874,0.0843
G4958,365.92,-0.177,0.56
G4959,45.42,0.375,0.412
G4960,265.51,-0.214,0.501
G4961,6.13,0.454,0.6
G4962,3.22,-1.685,0.13
G4963,5231.34,-0.515,0.0334
G4964,78.32,-0.026,0.948
G4965,399.12,2.365,1e-12
G4966,9018.32,0.197,0.406
G4967,2.85,-1.414,0.226
G4968,340.99,-0.146,0.634
G4969,335.95,1.094,0.000371
G4970,60.35,-0.55,0.197
G4971,7.3,-0.718,0.377
G4972,6.98,0.222,0.788
G4973,35.94,-0.191,0.695
G4974,45.84,-0.441,0.334
G4975,12.46,0.355,0.598
G4976,136.72,-0.369,0.301
G4977,6.16,-1.905,0.0276
G4978,124.9,0.262,0.471
G4979,176.86,0.207,0.543
G4980,38.84,-0.337,0.48
G4981,62.52,-0.128,0.762
G4982,166.47,-1.263,0.000241
G4983,161.96,0.526,0.128
G4984,12.49,-1.337,0.0469
G4985,1.21,2.47,0.14
G4986,64.16,0.301,0.473
G4987,108.11,0.009,0.981
G4988,12.87,-0.08,0.904
G4989,43.78,-0.368,0.426
G4990,132.04,0.18,0.616
G4991,64.24,-0.074,0.86
G4992,3.3,-0.731,0.507
G4993,265.58,0.392,0.218
G4994,132.97,-0.098,0.785
G4995,709.06,-0.022,0.937
G4996,36.82,-0.17,0.725
G4997,8.97,0.725,0.336
G4998,436.76,-0.161,0.587
G4999,30.54,-0.907,0.0751
G5000,7.63,0.802,0.316
G5001,184.1,1.69,5.7e-07
G5002,85.11,0.417,0.289
G5003,239.73,-0.385,0.234
G5004,21.78,1.741,0.00198
G5005,0.65,-0.935,0.671
G5006,227.26,-0.126,0.699
G5007,16.89,-0.364,0.55
G5008,1.38,1.529,0.334
G5009,210.03,0.297,0.369
G5010,26.4,1.09,0.0402
G5011,265.47,-0.428,0.179
G5012,3.74,-0.253,0.809
G5013,28.64,0.304,0.558
G5014,111.77,1.877,4.31e-07
G5015,52.51,-0.498,0.259
G5016,2.29,-0.128,0.92
G5017,278.15,-0.295,0.35
G5018,11.55,-0.334,0.629
G5019,49.42,-0.367,0.412
G5020,12.81,-1.833,0.006
G5021,179.13,0.026,0.939
G5022,21.29,-0.342,0.546
G5023,17.08,0.606,0.318
G5024,24.12,0.779,0.153
G5025,147.95,0.513,0.144
G5026,253.93,-0.254,0.428
G5027,120.58,0.33,0.367
G5028,44.34,-1.499,0.00113
G5029,34.72,-0.953,0.0525
G5030,1.99,1.439,0.288
G5031,155.46,0.624,0.0732
G5032,8.64,0.909,0.234
G5033,15.26,-1.223,0.0521
G5034,3268.54,-0.436,0.0787
G5035,55.78,-0.21,0.629
G5036,42.87,0.243,0.601
G5037,24.03,-0.662,0.226
G5038,59.31,0.463,0.279
G5039,29.41,-0.506,0.326
G5040,3.81,1.358,0.192
G5041,381.54,-0.762,0.0116
G5042,498.69,0.376,0.197
G5043,32.12,-1.345,0.00741
G5044,463.89,0.127,0.666
G5045,11.39,-0.136,0.845
G5046,9.94,1.298,0.0744
G5047,187.87,-0.505,0.134
G5048,128.18,0.106,0.769
G5049,182.93,0.139,0.681
G5050,7.44,-1.708,0.0342
G5051,33.05,1.086,0.0293
G5052,189.12,0.224,0.505
G5053,128.55,0.061,0.866
G5054,15.21,0.282,0.655
G5055,104.09,2.311,8.63e-10
G5056,6.54,-0.407,0.63
G5057,57.72,0.239,0.579
G5058,150.22,0.013,0.97
G5059,8.27,0.248,0.749
G5060,19.61,0.242,0.677
G5061,58.87,-0.067,0.876
G5062,72.85,0.592,0.146
G5063,18.52,0.245,0.679
G5064,471.92,-0.195,0.507
G5065,177.08,0.295,0.386
G5066,53.47,0.346,0.43
G5067,655.44,0.172,0.543
G5068,10.66,0.98,0.168
G5069,89.16,-0.123,0.752
G5070,3968.17,0.028,0.909
G5071,67.84,0.066,0.873
G5072,31.4,0.057,0.91
G5073,880.79,0.012,0.965
G5074,23.07,-0.805,0.146
G5075,54.69,0.136,0.755
G5076,7.17,-1.339,0.101
G5077,51.43,0.013,0.977
G5078,14.7,-0.096,0.88
G5079,2.8,2.27,0.0536
G5080,15.83,0.584,0.348
G5081,23.53,0.302,0.583
G5082,8.69,1.267,0.0967
G5083,9.61,-1.599,0.0298
G5084,20.63,-0.049,0.932
G5085,74.61,0.028,0.945
G5086,37.5,-0.186,0.699
G5087,825.7,0.216,0.433
G5088,57.59,0.626,0.146
G5089,44.3,-0.159,0.73
G5090,22.59,0.962,0.0839
G5091,21.68,-0.56,0.32
G5092,325.33,0.135,0.662
G5093,111.69,-0.32,0.389
G5094,1378.83,-0.112,0.67
G5095,21.2,-0.308,0.587
G5096,43.75,0.265,0.566
G5097,1.15,-0.591,0.73
G5098,6.42,-0.157,0.854
G5099,145.04,0.195,0.581
G5100,18.07,0.386,0.517
G5101,779.28,0.063,0.82
G5102,3.2,-0.362,0.745
G5103,25.14,-0.072,0.894
G5104,3.17,-1.13,0.312
G5105,46.71,-0.805,0.0763
G5106,183.3,-0.314,0.353
G5107,276.37,0.509,0.108
G5108,57.42,0.017,0.969
G5109,0.34,3.782,0.128
G5110,46.61,0.539,0.236
G5111,59.4,0.941,0.0278
G5112,9.82,0.267,0.715
G5113,297.59,-0.262,0.402
G5114,442.83,0.096,0.746
G5115,16.47,-0.195,0.751
G5116,26.74,-0.608,0.251
G5117,47.33,-2.242,7.27e-07
G5118,56.11,0.695,0.109
G5119,22.47,-0.248,0.656
G5120,223.61,-0.332,0.31
G5121,174.36,0.118,0.729
G5122,19.55,-0.446,0.443
G5123,0.77,-0.993,0.627
G5124,240.64,0.489,0.13
G5125,565.18,0.297,0.301
G5126,1016.41,0.126,0.641
G5127,87.89,0.268,0.493
G5128,63.36,-0.362,0.39
G5129,70.01,0.368,0.371
G5130,13.08,0.188,0.777
G5131,5,1.481,0.113
G5132,39.32,-0.596,0.21
G5133,567.82,-0.279,0.331
G5134,11.49,-0.023,0.973
G5135,135.47,1.532,1.82e-05
G5136,44.29,0.445,0.334
G5137,992.93,-0.035,0.897
G5138,24.25,-0.15,0.783
G5139,98.23,-0.032,0.933
G5140,724.87,-0.31,0.267
G5141,274.19,0.282,0.373
G5142,133.57,0.582,0.104
G5143,6.59,-0.891,0.291
G5144,7.01,-0.045,0.956
G5145,581.7,0.093,0.745
G5146,50.74,0.248,0.577
G5147,150.56,0.496,0.157
G5148,207.9,-0.129,0.697
G5149,803.02,0.061,0.825
G5150,7.14,0.322,0.694
G5151,125.24,0.038,0.917
G5152,16.21,-0.171,0.782
G5153,17.08,-0.303,0.618
G5154,145.03,-0.168,0.634
G5155,34.9,-0.893,0.0689
G5156,346.79,0.091,0.766
G5157,28.69,0.974,0.0604
G5158,17.93,-0.007,0.991
G5159,27.56,0.859,0.102
G5160,452.91,-0.175,0.553
G5161,508.3,0.076,0.794
G5162,21.28,0.265,0.64
G5163,190.08,0.138,0.681
G5164,1110.69,-0.136,0.612
G5165,1850.54,0.11,0.669
G5166,7.01,-1.71,0.038
G5167,20.4,0.561,0.329
G5168,44.52,0.503,0.274
G5169,115.7,0.03,0.935
G5170,12.46,1.153,0.0868
G5171,73.45,0.095,0.815
G5172,55.68,-0.255,0.557
G5173,7.16,0.856,0.295
G5174,2.63,1.2,0.32
G5175,80.26,-0.414,0.299
G5176,173.55,-0.129,0.706
G5177,80.24,0.275,0.49
G5178,1.16,1.194,0.484
G5179,18.42,0.183,0.758
G5180,349.87,-0.439,0.151
G5181,174.93,-0.179,0.6
G5182,11.11,2.163,0.002
G5183,69.87,0.154,0.708
G5184,25.45,1.933,0.00032
G5185,88.75,-0.097,0.803
G5186,28.63,-0.844,0.104
G5187,72.9,0.238,0.559
G5188,74.28,0.701,0.084
G5189,157.8,-0.333,0.338
G5190,53.41,0.049,0.911
G5191,129.89,-0.373,0.301
G5192,30.76,0.504,0.322
G5193,388.12,0.119,0.693
G5194,87.44,-0.1,0.798
G5195,22.47,-0.06,0.914
G5196,226.47,-0.421,0.197
G5197,23.9,0.883,0.107
G5198,26.59,-0.597,0.26
G5199,17.1,-0.652,0.283
G5200,1.19,-1.965,0.244
G5201,20.27,-0.114,0.843
G5202,63.85,0.701,0.0953
G5203,51.38,0.541,0.222
G5204,31.19,-0.039,0.939
G5205,33.56,-0.553,0.265
G5206,481.35,0.137,0.64
G5207,31.54,-0.372,0.461
G5208,545.19,0.336,0.244
G5209,855.36,0.24,0.382
G5210,19.9,0.093,0.872
G5211,58.7,0.265,0.537
G5212,28.46,-1.024,0.0489
G5213,296.66,-0.599,0.0556
G5214,84.63,-0.564,0.152
G5215,75.69,-0.191,0.636
G5216,129.57,-0.149,0.679
G5217,41.98,-0.323,0.489
G5218,20.81,-0.719,0.208
G5219,40.86,0.163,0.729
G5220,79.1,0.103,0.797
G5221,3.45,2.685,0.013
G5222,37.17,-0.029,0.952
G5223,10.15,0.135,0.852
G5224,1.26,1.515,0.357
G5225,74.96,-0.212,0.6
G5226,90.47,0.041,0.916
G5227,2.28,0.637,0.619
G5228,167.15,-0.095,0.782
G5229,55.13,0.745,0.0871
G5230,115.69,0.073,0.843
G5231,27.17,0.859,0.103
G5232,101.74,-0.039,0.918
G5233,639.27,-0.223,0.431
G5234,649.13,-0.141,0.618
G5235,97.54,0.13,0.734
G5236,50.53,1.467,0.000981
G5237,277.01,-0.052,0.869
G5238,59.44,0.463,0.279
G5239,593.8,0.07,0.806
G5240,229.89,-0.873,0.00732
G5241,87.29,0.309,0.43
G5242,21.89,-0.611,0.277
G5243,597.55,-0.319,0.264
G5244,435.43,0.288,0.332
G5245,259.46,0.079,0.805
G5246,3.16,-0.479,0.669
G5247,15.56,-1.05,0.0933
G5248,33.59,0.356,0.473
G5249,2.87,-1.264,0.278
G5250,47.87,0.209,0.643
G5251,38.85,-0.227,0.634
G5252,209.1,-0.141,0.67
G5253,238.32,-0.682,0.0351
G5254,138.77,0.028,0.937
G5255,27.57,-0.613,0.243
G5256,1.5,-1.202,0.431
G5257,10,0.394,0.587
G5258,62.23,0,1
G5259,178.25,0.422,0.214
G5260,35.36,-1.375,0.00493
G5261,1447.82,-1.511,8.11e-09
G5262,19.47,0.183,0.753
G5263,85.92,-1.323,0.000752
G5264,57.25,-1.591,0.000227
G5265,30.72,0.207,0.684
G5266,369.43,-0.014,0.963
G5267,348.67,0.374,0.221
G5268,17.8,-0.66,0.271
G5269,1.16,1.656,0.332
G5270,174.8,-0.037,0.914
G5271,631.65,-0.283,0.318
G5272,153.63,-0.244,0.485
G5273,186.74,0.448,0.184
G5274,1.94,-0.639,0.641
G5275,180.54,0.014,0.967
G5276,1.41,1.139,0.467
G5277,16.81,-0.64,0.294
G5278,255.34,0.397,0.215
G5279,49.76,-1.112,0.0128
G5280,113.84,0.229,0.536
G5281,15.87,-0.09,0.885
G5282,104.44,0.3,0.426
G5283,25.42,0.848,0.115
G5284,29.7,-1.518,0.00312
G5285,311.44,0.161,0.604
G5286,330.14,0.287,0.352
G5287,27.57,-0.385,0.463
G5288,715.25,0.149,0.594
G5289,179.42,-0.077,0.821
G5290,240.52,-0.15,0.643
G5291,10.5,0.277,0.698
G5292,31.05,0.64,0.207
G5293,7.23,0.548,0.501
G5294,11.59,-0.306,0.657
G5295,106.48,-0.782,0.0371
G5296,962.79,0.354,0.192
G5297,1142.41,0.075,0.779
G5298,110.87,-0.577,0.121
G5299,11.65,0.195,0.777
G5300,94.22,3.097,1e-12
G5301,3.29,-0.777,0.481
G5302,740.23,0.241,0.387
G5303,4.07,0.298,0.769
G5304,198.4,-0.089,0.79
G5305,33.98,-0.207,0.675
G5306,17.45,-0.304,0.614
G5307,18.84,0.117,0.842
G5308,639.71,-0.222,0.433
G5309,151.02,0.267,0.446
G5310,21.92,-0.336,0.55
G5311,70.21,-0.215,0.601
G5312,84.86,-0.509,0.196
G5313,35.34,0.158,0.747
G5314,34.17,-0.802,0.104
G5315,10.26,1.221,0.0897
G5316,148.23,-0.066,0.851
G5317,208.31,0.181,0.584
G5318,1.91,-2.169,0.115
G5319,6.44,0.017,0.984
G5320,39.11,0.212,0.656
G5321,1.74,-2.938,0.0403
G5322,84.08,-0.315,0.425
G5323,57.29,-0.096,0.824
G5324,176.2,0.23,0.499
G5325,46.53,0.094,0.836
G5326,173.4,0.943,0.00576
G5327,189.39,-0.276,0.412
G5328,12.42,-0.227,0.736
G5329,66.95,0.054,0.897
G5330,249.14,0.309,0.336
G5331,38.52,-0.725,0.129
G5332,30.99,0.147,0.772
G5333,144.57,0.317,0.369
G5334,28.32,-0.37,0.477
G5335,912.85,1.034,0.000152
G5336,15.25,0.451,0.474
G5337,9.25,-0.275,0.712
G5338,203.31,1.103,9e-04
G5339,7.78,-0.595,0.453
G5340,13.74,-0.501,0.442
G5341,128.93,-0.131,0.717
G5342,2.57,-0.644,0.597
G5343,25.36,0.746,0.165
G5344,10.4,-0.745,0.298
G5345,115.2,0.496,0.179
G5346,123.39,0.441,0.226
G5347,18.29,0.477,0.422
G5348,53.48,0.973,0.0266
G5349,70.07,0.425,0.301
G5350,40.71,1.811,0.00012
G5351,10.85,-1.585,0.0247
G5352,43.83,0.201,0.663
G5353,6.37,0.524,0.539
G5354,132.31,0.076,0.832
G5355,78.29,-0.806,0.0443
G5356,297.9,-0.658,0.0354
G5357,158.02,0.206,0.553
G5358,7.98,-1.239,0.115
G5359,420.94,0.481,0.106
G5360,3.48,-0.002,0.999
G5361,28.3,0.081,0.876
G5362,93,-0.156,0.686
G5363,5.1,-0.902,0.331
G5364,20.98,1.156,0.0423
G5365,186.98,0.578,0.0863
G5366,76.53,0.557,0.167
G5367,29.08,0.993,0.0546
G5368,65.83,-0.324,0.437
G5369,248.02,0.133,0.679
G5370,56.62,0.091,0.833
G5371,67.81,-0.744,0.0725
G5372,53.05,-0.255,0.562
G5373,6.5,0.299,0.724
G5374,505.62,0.364,0.211
G5375,12.99,-1.127,0.0896
G5376,11.58,0.091,0.895
G5377,38.84,0.099,0.835
G5378,261.4,-0.662,0.0379
G5379,437.97,-0.318,0.283
G5380,125.69,-0.402,0.268
G5381,39.96,-0.813,0.0857
G5382,4.46,0.431,0.659
G5383,51.58,-0.184,0.678
G5384,19.99,-0.003,0.996
G5385,41.85,0.489,0.295
G5386,121.26,0.648,0.0761
G5387,103.75,0.101,0.789
G5388,164.29,0.358,0.299
G5389,11.4,1.508,0.0298
G5390,0.68,1.202,0.578
G5391,140.28,-0.193,0.587
G5392,421.58,-0.143,0.631
G5393,8.56,-0.119,0.877
G5394,19.92,0.103,0.859
G5395,2.01,-1.418,0.293
G5396,140.55,-0.013,0.971
G5397,104.79,0.067,0.859
G5398,14.98,-0.518,0.413
G5399,38.65,0.597,0.211
G5400,29.65,0.381,0.458
G5401,186.19,-0.067,0.843
G5402,8.76,0.346,0.649
G5403,22.22,-0.165,0.768
G5404,1.03,1.561,0.385
G5405,92.66,-0.011,0.977
G5406,186.03,-0.286,0.396
G5407,5.84,-0.296,0.737
G5408,28.19,0.235,0.652
G5409,64.24,0.215,0.608
G5410,5.64,0.218,0.807
G5411,81.87,-0.981,0.0134
G5412,168.92,-0.021,0.951
G5413,1067.54,0.068,0.8
G5414,202.42,-0.569,0.087
G5415,47.19,0.008,0.986
G5416,9.64,-0.978,0.184
G5417,4.97,0.757,0.419
G5418,375.63,0.046,0.879
G5419,127.76,1.084,0.00272
G5420,113.16,-0.318,0.391
G5421,215.79,0.13,0.693
G5422,2.91,0.911,0.431
G5423,4.06,-0.537,0.596
G5424,73.29,-0.368,0.366
G5425,20.44,-1.342,0.0194
G5426,51.4,-0.271,0.541
G5427,24.4,0.331,0.543
G5428,105.34,0.139,0.712
G5429,317.21,-0.247,0.425
G5430,12.5,-0.715,0.288
G5431,36.1,0.008,0.987
G5432,56.81,-0.603,0.163
G5433,3.94,2.509,0.0145
G5434,67.44,0.208,0.616
G5435,78.34,0.538,0.179
G5436,19.31,-0.862,0.14
G5437,30.65,-0.263,0.605
G5438,73.06,-0.122,0.764
G5439,69.71,0.099,0.81
G5440,4.84,0.083,0.93
G5441,170.26,0.06,0.861
G5442,44.83,-0.116,0.8
G5443,3.55,-0.921,0.389
G5444,19.73,-0.128,0.825
G5445,80.46,2,5.16e-07
G5446,153.41,-0.033,0.925
G5447,16.86,0.13,0.831
G5448,100.42,-0.015,0.968
G5449,65.05,-0.219,0.601
G5450,493.09,0.256,0.381
G5451,492.55,-0.029,0.921
G5452,15.37,0.662,0.292
G5453,57.47,0.051,0.906
G5454,6.85,-2.887,0.000515
G5455,58.63,-0.347,0.419
G5456,3.42,1.527,0.159
G5457,24.84,0.251,0.643
G5458,117.92,-0.108,0.769
G5459,368.53,0.313,0.302
G5460,8515.53,0.221,0.352
G5461,2943.82,0.546,0.0286
G5462,163.23,0.051,0.883
G5463,545.07,0.046,0.873
G5464,276.17,0.048,0.879
G5465,539.44,0.061,0.833
G5466,280.35,-0.805,0.0107
G5467,68.39,0.198,0.632
G5468,32.19,-0.395,0.431
G5469,12.04,0.206,0.762
G5470,376.96,-0.163,0.59
G5471,17.88,0.11,0.854
G5472,115.38,-0.266,0.471
G5473,28,-0.354,0.498
G5474,160.56,-0.403,0.244
G5475,1749.61,0.187,0.469
G5476,384.09,0.01,0.974
G5477,59.44,0.7,0.102
G5478,18.94,0.093,0.874
G5479,9.84,-0.999,0.171
G5480,53.67,0.303,0.489
G5481,542.2,-0.216,0.454
G5482,8.65,0.184,0.81
G5483,17.6,1.51,0.012
G5484,267.73,0.086,0.787
G5485,12.46,0.101,0.881
G5486,115.42,-0.049,0.894
G5487,49.05,-0.184,0.682
G5488,16.72,-0.14,0.819
G5489,87.02,-0.167,0.67
G5490,21.21,0.076,0.893
G5491,13.88,0.185,0.776
G5492,10.67,-0.953,0.179
G5493,42.04,0.166,0.722
G5494,46.77,0.786,0.0834
G5495,15.29,-0.224,0.722
G5496,140.16,0.418,0.239
G5497,164.85,0.543,0.115
G5498,92.08,1.781,4.12e-06
G5499,15.56,-1.369,0.0287
G5500,60.25,0.155,0.716
G5501,282.58,0.427,0.175
G5502,1649.48,-0.218,0.401
G5503,111.61,-0.243,0.513
G5504,897.6,-0.184,0.501
G5505,653.97,-0.507,0.0728
G5506,15.91,0.495,0.425
G5507,222.93,-0.116,0.723
G5508,11.74,0.002,0.998
G5509,49.58,0.833,0.0625
G5510,1.26,1.535,0.351
G5511,44.62,0.316,0.492
G5512,164.99,0.186,0.589
G5513,39.57,0.349,0.462
G5514,182.94,-0.115,0.734
G5515,202.55,-0.014,0.966
G5516,20.19,-0.317,0.582
G5517,26.66,-0.106,0.841
G5518,14.05,2.412,0.000192
G5519,3.55,2.829,0.00815
G5520,5.15,-0.854,0.356
G5521,43.99,-0.04,0.931
G5522,3.09,-0.385,0.733
G5523,384.84,0.102,0.735
G5524,9.39,0.102,0.891
G5525,9.62,-0.454,0.537
G5526,7.78,0.15,0.85
G5527,14.01,-0.577,0.373
G5528,4.21,-1.922,0.0546
G5529,17.54,0.252,0.676
G5530,475.01,-0.071,0.809
G5531,110.14,-0.098,0.792
G5532,72.81,-0.391,0.337
G5533,37.4,0.847,0.0786
G5534,512.92,-0.217,0.455
G5535,125.95,1.53,2.44e-05
G5536,447.75,0.092,0.756
G5537,65.56,-0.166,0.691
G5538,151.26,0.231,0.509
G5539,3335.1,0.153,0.537
G5540,709.47,-0.924,0.00097
G5541,37.69,0.178,0.711
G5542,61.88,0.448,0.29
G5543,164.53,-0.253,0.463
G5544,194.65,0.369,0.27
G5545,256.88,0.255,0.425
G5546,158.36,0.371,0.285
G5547,5.29,-0.655,0.474
G5548,21,1.39,0.0146
G5549,28.69,0.641,0.217
G5550,11.09,-0.251,0.72
G5551,90.08,-0.156,0.688
G5552,25.84,0.286,0.593
G5553,13.4,-0.69,0.294
G5554,16.67,0.682,0.265
G5555,26.7,0.519,0.327
G5556,128.56,0.916,0.0112
G5557,48.52,0.259,0.565
G5558,304.75,-0.288,0.355
G5559,5.39,-0.114,0.9
G5560,133.7,0.705,0.0492
G5561,68.65,-0.125,0.762
G5562,35.22,0.133,0.786
G5563,55.4,-2.113,1.19e-06
G5564,9.16,-0.069,0.927
G5565,130.25,-0.363,0.314
G5566,39.16,3.074,1.03e-10
G5567,66.39,0.805,0.0532
G5568,13.36,0.966,0.142
G5569,96.55,-0.293,0.444
G5570,22.44,0.479,0.39
G5571,39.97,0.634,0.18
G5572,209.46,0.054,0.87
G5573,457.77,0.448,0.129
G5574,175.93,0.625,0.0665
G5575,68.3,-1.174,0.00453
G5576,10.67,0.242,0.733
G5577,45.71,-0.357,0.434
G5578,3469.61,-0.433,0.0798
G5579,38.3,-0.132,0.783
G5580,29.46,-0.629,0.222
G5581,148.34,0.035,0.921
G5582,269.14,0.214,0.5
G5583,1.98,0.385,0.777
G5584,26.98,0.514,0.33
G5585,10.08,-0.623,0.389
G5586,16.64,-0.415,0.498
G5587,4.22,1.34,0.18
G5588,66.14,0.85,0.0414
G5589,4.06,0.487,0.631
G5590,15.11,0.108,0.864
G5591,28.01,0.203,0.698
G5592,161.02,0.353,0.308
G5593,76.89,-0.335,0.405
G5594,27.91,0.259,0.62
G5595,24.03,-0.638,0.243
G5596,138.96,-0.086,0.809
G5597,2.44,-1.803,0.147
G5598,8.34,-0.418,0.589
G5599,1.88,4.283,0.00201
G5600,46.85,0.589,0.194
G5601,17.12,0.362,0.551
G5602,60.24,0.513,0.229
G5603,459.43,-0.194,0.51
G5604,5079.97,0.075,0.757
G5605,142.66,-0.332,0.348
G5606,30.31,0.474,0.353
G5607,172.17,-0.303,0.376
G5608,16.51,0.345,0.574
G5609,144.9,-0.144,0.683
G5610,2.15,0.718,0.584
G5611,32.35,0.775,0.122
G5612,0.49,0.374,0.88
G5613,134.87,0.324,0.365
G5614,62.4,-0.213,0.614
G5615,21.77,0.429,0.446
G5616,41.72,-0.267,0.568
G5617,29.5,-1.522,0.0031
G5618,695.65,0.147,0.6
G5619,109.57,0.707,0.0579
G5620,19.65,0.031,0.957
G5621,35.17,0.412,0.4
G5622,680.1,-0.077,0.784
G5623,17.22,-1.235,0.0414
G5624,300.56,0.227,0.467
G5625,14.57,0.29,0.65
G5626,96.02,0.582,0.129
G5627,14.96,0.408,0.52
G5628,88.95,0.226,0.562
G5629,32.83,0.094,0.851
G5630,28.49,-0.647,0.213
G5631,77.56,-0.054,0.893
G5632,90.09,0.67,0.0847
G5633,58.37,-0.871,0.0425
G5634,35.26,-0.065,0.894
G5635,2069.18,-0.128,0.616
G5636,25.21,0,1
G5637,134.24,-0.184,0.607
G5638,256.25,-0.275,0.39
G5639,2.39,-0.685,0.585
G5640,5.25,0.645,0.482
G5641,196.29,0.186,0.578
G5642,202.83,-0.557,0.0937
G5643,78.27,-0.118,0.768
G5644,34.64,-0.074,0.88
G5645,141.44,0.458,0.196
G5646,31.99,-0.58,0.249
G5647,1245.55,-0.343,0.196
G5648,60.85,-0.907,0.0329
G5649,425.46,-0.429,0.149
G5650,242.27,-0.015,0.963
G5651,267.53,0.092,0.772
G5652,205.64,0.389,0.241
G5653,375.12,0.508,0.0932
G5654,97.23,0.753,0.0489
G5655,14.72,3.671,8.28e-09
G5656,202.31,-0.048,0.885
G5657,27.09,0.884,0.0937
G5658,221.16,0.342,0.296
G5659,0.84,-1.206,0.54
G5660,61.44,-0.447,0.292
G5661,24.8,0.865,0.11
G5662,16.77,0.427,0.484
G5663,392.62,0.401,0.182
G5664,10.47,0.035,0.961
G5665,79.71,0.018,0.964
G5666,43.45,-0.192,0.678
G5667,348.36,0.551,0.0715
G5668,1.34,0.398,0.804
G5669,5.88,0.277,0.753
G5670,101.12,-0.109,0.774
G5671,62.35,-0.131,0.757
G5672,72.63,-0.526,0.197
G5673,218.95,0.235,0.474
G5674,161.41,0.19,0.583
G5675,38.97,-0.382,0.423
G5676,93.61,0.045,0.907
G5677,27.53,0.317,0.546
G5678,197.89,0.468,0.161
G5679,162.87,-0.839,0.0151
G5680,183.97,-0.471,0.163
G5681,42.87,0.392,0.399
G5682,22.28,0.419,0.454
G5683,34.44,0.198,0.688
G5684,3.15,1.286,0.252
G5685,149.9,-0.314,0.371
G5686,860.95,-0.409,0.136
G5687,318.08,-0.419,0.176
G5688,460.09,0.015,0.959
G5689,20.93,-0.211,0.711
G5690,22.99,0.282,0.611
G5691,26.89,-1.232,0.0198
G5692,221.22,-0.319,0.33
G5693,349.51,-0.621,0.0421
G5694,31.37,0.238,0.638
